TroubleZoneID,ControllerID,Name,Name2,Area1,Area2,Area3,Area4,ZoneType1,ZoneType2,ZoneType3,ZoneType4,LogToEventBuffer,BypassingNotAllowed,LatchBypassingNotAllowed,NoBypassIfAnyAreaArmed,TroubleGroup,TroubleGroupOptions,ReportingID,LastModified,LastModifiedValid,FloorPlan,Module,ModuleAddress,ModuleZone,Created,LastOperator,SEIndex,HostControllerRef,EnableRemoteMonitor,ReportingService,KeypadDisplayName,Commands
0,0,MyController CP1 12V Supply Failure,MyController CP1 12V supply failure,2147483647,2147483647,2147483647,2147483647,2147483647,2147483647,2147483647,2147483647,True,False,False,True,1,1,502,2022-09-21 13:26:41.403,True,2147483647,1,0,1,2022-09-21 13:26:41.403,Admin,0,0,False,2147483647,,
1,0,MyController CP1 Real Time Clock Not Set,MyController CP1 Real time clock not set,2147483647,2147483647,2147483647,2147483647,2147483647,2147483647,2147483647,2147483647,True,False,False,True,1,3,504,2022-09-21 13:26:41.450,True,2147483647,1,0,3,2022-09-21 13:26:41.450,Admin,0,0,False,2147483647,,
2,0,MyController CP1 Service Report Test,MyController CP1 Service report test,2147483647,2147483647,2147483647,2147483647,2147483647,2147483647,2147483647,2147483647,True,False,False,True,0,0,505,2022-09-21 13:26:41.483,True,2147483647,1,0,4,2022-09-21 13:26:41.483,Admin,0,0,False,2147483647,,
3,0,MyController CP1 ContactID Reporting Failure,MyController CP1 Contact ID reporting failure,2147483647,2147483647,2147483647,2147483647,2147483647,2147483647,2147483647,2147483647,True,False,False,True,1,4,506,2022-09-21 13:26:41.503,True,2147483647,1,0,5,2022-09-21 13:26:41.503,Admin,0,0,False,2147483647,,
4,0,MyController CP1 Phone Line Fault,MyController CP1 Phone line fault,2147483647,2147483647,2147483647,2147483647,2147483647,2147483647,2147483647,2147483647,True,False,False,True,1,5,507,2022-09-21 13:26:41.530,True,2147483647,1,0,6,2022-09-21 13:26:41.530,Admin,0,0,False,2147483647,,
5,0,MyController CP1 Auxillary Fuse / Supply Fault,MyController CP1 Auxiliary fuse/supply fault,2147483647,2147483647,2147483647,2147483647,2147483647,2147483647,2147483647,2147483647,True,False,False,True,1,8,508,2022-09-21 13:26:41.557,True,2147483647,1,0,7,2022-09-21 13:26:41.557,Admin,0,0,False,2147483647,,
6,0,MyController CP1 Bell Siren 1 Tamper / Cut,MyController CP1 Bell siren 1 tamper/cut,2147483647,2147483647,2147483647,2147483647,2147483647,2147483647,2147483647,2147483647,True,False,False,True,1,9,509,2022-09-21 13:26:41.570,True,2147483647,1,0,8,2022-09-21 13:26:41.570,Admin,0,0,False,2147483647,,
7,0,MyController CP1 Bell Siren 1 Current Overload,MyController CP1 Bell siren 1 current overload,2147483647,2147483647,2147483647,2147483647,2147483647,2147483647,2147483647,2147483647,True,False,False,True,1,9,511,2022-09-21 13:26:41.590,True,2147483647,1,0,10,2022-09-21 13:26:41.590,Admin,0,0,False,2147483647,,
8,0,MyController CP1 Module Communication Fault,MyController CP1 Module communication fault,2147483647,2147483647,2147483647,2147483647,2147483647,2147483647,2147483647,2147483647,True,False,False,True,2,2,513,2022-09-21 13:26:41.623,True,2147483647,1,0,12,2022-09-21 13:26:41.623,Admin,0,0,False,2147483647,,
9,0,MyController CP1 Module Security Violation,MyController CP1 Module security violation,2147483647,2147483647,2147483647,2147483647,2147483647,2147483647,2147483647,2147483647,True,False,False,True,2,3,514,2022-09-21 13:26:41.643,True,2147483647,1,0,13,2022-09-21 13:26:41.643,Admin,0,0,False,2147483647,,
